data,hora,umidade_%
01/01/2000,00:01:54,25.90
01/01/2000,00:01:56,25.90
01/01/2000,00:01:57,25.90
01/01/2000,00:01:58,25.90
01/01/2000,00:01:59,25.90
01/01/2000,00:02:00,25.90
01/01/2000,00:02:01,25.90
01/01/2000,00:02:02,25.90
01/01/2000,00:02:03,25.90
01/01/2000,00:02:04,25.90
01/01/2000,00:02:05,25.90
01/01/2000,00:02:06,25.90
01/01/2000,00:02:07,25.90
01/01/2000,00:02:08,25.90
01/01/2000,00:02:09,25.90
01/01/2000,00:02:10,25.90
01/01/2000,00:02:11,25.90
01/01/2000,00:02:12,25.90
01/01/2000,00:02:13,25.90
01/01/2000,00:02:14,25.90
01/01/2000,00:02:16,25.90
01/01/2000,00:02:17,25.90
01/01/2000,00:02:18,25.90
01/01/2000,00:02:19,25.90
01/01/2000,00:02:20,25.90
01/01/2000,00:02:21,25.90
01/01/2000,00:02:22,25.90
01/01/2000,00:02:23,25.90
01/01/2000,00:02:24,25.90
01/01/2000,00:02:25,25.90
01/01/2000,00:02:26,25.90
01/01/2000,00:02:27,25.90
01/01/2000,00:02:28,25.90
01/01/2000,00:02:29,25.90
01/01/2000,00:02:30,25.90
01/01/2000,00:02:31,25.90
01/01/2000,00:02:32,25.90
01/01/2000,00:02:33,25.90
01/01/2000,00:02:34,25.90
01/01/2000,00:02:35,25.90
01/01/2000,00:02:37,25.90
01/01/2000,00:02:38,25.90
01/01/2000,00:02:39,25.90
01/01/2000,00:02:40,25.90
01/01/2000,00:02:41,25.90
01/01/2000,00:02:42,25.90
01/01/2000,00:02:43,25.90
01/01/2000,00:02:44,25.90
01/01/2000,00:02:45,25.90
01/01/2000,00:02:46,25.90
01/01/2000,00:02:47,25.90
01/01/2000,00:02:48,25.90
01/01/2000,00:02:49,25.90
01/01/2000,00:02:50,25.90
01/01/2000,00:02:51,25.90
01/01/2000,00:02:52,25.90
01/01/2000,00:02:53,25.90
01/01/2000,00:02:54,25.90
01/01/2000,00:02:55,25.90
01/01/2000,00:02:56,25.90
01/01/2000,00:02:58,25.90
01/01/2000,00:02:59,25.90
01/01/2000,00:03:00,25.90
01/01/2000,00:03:01,25.90
01/01/2000,00:03:02,25.90
01/01/2000,00:03:03,25.90
01/01/2000,00:03:04,25.90
01/01/2000,00:03:05,25.90
01/01/2000,00:03:06,25.90
01/01/2000,00:03:07,25.90
01/01/2000,00:03:08,25.90
01/01/2000,00:03:09,25.90
01/01/2000,00:03:10,26.00
01/01/2000,00:03:11,25.90
01/01/2000,00:03:12,25.90
01/01/2000,00:03:13,25.90
01/01/2000,00:03:14,26.00
01/01/2000,00:03:15,25.90
01/01/2000,00:03:16,25.90
01/01/2000,00:03:18,26.00
01/01/2000,00:03:19,26.00
01/01/2000,00:03:20,26.00
01/01/2000,00:03:21,26.00
01/01/2000,00:03:22,26.00
01/01/2000,00:03:23,26.00
01/01/2000,00:03:24,26.00
01/01/2000,00:03:25,26.00
01/01/2000,00:03:26,26.00
01/01/2000,00:03:27,26.00
01/01/2000,00:03:28,26.00
01/01/2000,00:03:29,26.00
01/01/2000,00:03:30,26.00
01/01/2000,00:03:31,25.90
01/01/2000,00:03:32,25.90
